1,3.300,0.150,36.00
2,2.450,0.450,31.70
3,1.150,1.325,9.90
4,4.450,1.675,7.15
5,5.650,1.800,4.30
6,2.400,1.900,3.55
7,3.550,2.000,5.80
8,1.150,2.400,16.30
9,0.150,2.400,21.80
10,4.150,2.875,1.90
11,2.450,2.950,8.55
12,1.175,3.300,22.00
13,5.675,3.300,5.30
14,2.100,3.700,13.35
15,4.400,3.825,4.45
16,3.225,4.100,1.60
17,5.150,4.450,3.05
18,6.900,4.500,6.75
19,0.425,4.600,47.70
20,1.350,4.700,11.10
21,0.100,5.150,18.35
22,4.850,5.150,3.30
23,2.750,5.300,5.95
24,4.000,5.400,6.70
25,6.050,5.450,9.90
26,1.800,5.750,7.60
27,5.275,6.275,5.80
28,3.950,6.400,5.10
29,6.650,6.400,9.00
30,2.375,6.650,9.70
31,1.050,6.975,15.00
32,4.725,7.000,22.10
33,6.375,7.750,7.55
